,EFA US Equity,SPY US Equity,EEM US Equity,DBC US Equity,IYR US Equity,LQD US Equity,SHY US Equity
5/9/2006,70.58,132.62,37.0333,26.03,71.85,104.07,79.63
5/10/2006,70.36,132.55,36.6333,26.68,71.91,104.14,79.63
5/11/2006,69.65,130.95,35.7,26.94,70.34,103.96,79.66
5/12/2006,68.75,129.24,34.7667,26.85,69.28,103.7,79.63
5/15/2006,68.16,129.5,33.9333,25.94,70.2,103.79,79.67
5/16/2006,68.06,129.31,34.1033,26.02,70.06,104.17,79.74
5/17/2006,65.89,126.85,32.9333,25.98,68.6,103.84,79.7
5/18/2006,65.69,126.21,32.3,25.99,68.41,104.5,79.78
5/19/2006,66.02,127.1,32.9967,25.42,68.27,104.45,79.76
5/22/2006,64.57,126.13,31.4433,25.62,67.82,104.51,79.76
5/23/2006,64.59,125.17,31.1,26.02,67.3599,104.44,79.81
5/24/2006,64.55,126.17,30.8833,25.36,67.47,104.55,79.86
5/25/2006,65.42,127.73,32.1967,25.8,68.75,104.41,79.86
5/26/2006,65.95,128.38,32.1,26.05,69.4,104.42,79.89
5/29/2006,65.95,128.38,32.1,26.05,69.4,104.42,79.89
5/30/2006,64.95,126.1,30.7167,25.91,68.85,104.19,79.83
5/31/2006,65.43,127.51,31.2333,25.52,68.75,103.99,79.77
6/1/2006,65.85,128.73,31.8733,25.2092,70.19,103.74,79.6
6/2/2006,66.49,129,32.2,25.71,70.95,104.39,79.72
6/5/2006,65.05,127.12,30.8333,25.64,71.05,104.07,79.65
6/6/2006,64.26,126.81,30.6067,25.42,70.34,104.3,79.65
6/7/2006,63.38,125.86,29.9333,25.25,70.62,104.02,79.6
6/8/2006,61.98,125.75,29.4,24.98,70.3,104.36,79.69
6/9/2006,61.91,125.35,29.0167,25.02,70.95,104.47,79.69
6/12/2006,61.38,123.99,27.9367,24.72,69.91,104.19,79.7
6/13/2006,59.46,122.55,27.3167,24.05,69,104.3,79.68
6/14/2006,60.32,123.5,28.1,24.04,68.89,103.85,79.6
6/15/2006,62.4,126.12,29.7367,24.3,70.09,103.64,79.58
6/16/2006,61.9,124.65,29.5667,24.35,70.28,103.5,79.54
6/19/2006,61.59,123.67,28.4667,23.9,69.65,103.37,79.51
6/20/2006,61.96,124.09,28.8167,24.1,69.22,103.29,79.5
6/21/2006,62.76,125.01,29.75,24.45,70.1,103.16,79.52
6/22/2006,62.43,124.46,29.2167,24.44,68.96,102.92,79.48
6/23/2006,62.25,124.44,29.1667,24.39,68.7,102.75,79.46
6/26/2006,62.74,124.99,29.1667,24.66,69.39,102.75,79.47
6/27/2006,61.58,123.91,28.6167,24.75,69.25,102.59,79.52
6/28/2006,62.28,124.75,29.5133,24.65,69.49,102.36,79.48
6/29/2006,64.58,127.27,31.2667,25.19,70.91,102.9,79.62
6/30/2006,65.39,127.23,31.3,25.3,71.25,103.47,79.69
7/3/2006,65.73,127.8,31.9933,25.97,72.54,102.89,79.4
7/4/2006,65.73,127.8,31.9933,25.97,72.54,102.89,79.4
7/5/2006,64.48,127.07,31,25.77,72.48,102.24,79.33
7/6/2006,65.16,127.44,31.6333,25.94,72.7,102.75,79.39
7/7/2006,64.86,126.61,31.0333,25.75,72.4,103.14,79.45
7/10/2006,65.4,126.85,31.2833,25.57,73.15,103.27,79.45
7/11/2006,65.58,127.41,31.4333,26.13,73.13,103.43,79.45
7/12/2006,64.35,126.05,30.7333,26.39,73.45,103.6,79.48
7/13/2006,63.22,124,29.5167,26.38,72.31,103.59,79.58
7/14/2006,62.68,123.52,29.6667,26.5,71.34,103.68,79.59
7/17/2006,61.8,123.34,29.2,25.9,71.29,103.79,79.58
7/18/2006,61.7,123.97,29.6067,25.74,72.14,103.25,79.52
7/19/2006,63.22,125.69,31.4333,25.83,73.86,103.72,79.63
7/20/2006,62.88,124.83,30.53,25.56,72.95,104.17,79.73
7/21/2006,62.88,123.95,29.9367,25.49,71.59,104.09,79.71
7/24/2006,64.02,126.21,31.2833,25.6,72.84,104.12,79.71
7/25/2006,64,126.66,31.3667,25.38,73.34,104.04,79.69
7/26/2006,64.45,126.83,31.2333,25.21,73.65,104.26,79.79
7/27/2006,64.85,126.71,31.6633,25.7,73.1,104.1,79.83
7/28/2006,66.15,127.98,32.3433,25.61,74.19,104.5,79.93
7/31/2006,65.92,127.85,32.0333,25.86,73.85,104.52,79.94
8/1/2006,65.46,127.22,31.5167,25.98,73.5,104.21,79.7
8/2/2006,66.18,128.08,31.9333,26.33,73.5,104.39,79.7
8/3/2006,66.07,128.42,31.9,26.08,74.29,104.4,79.69
8/4/2006,66.12,128.2,31.9667,26.05,75.4,104.81,79.76
8/7/2006,65.71,127.95,31.7667,26.46,74.58,104.72,79.79
8/8/2006,65.48,127.41,31.7667,26.09,73.36,104.78,79.83
8/9/2006,65.8,126.98,31.8867,26.13,72.68,104.73,79.86
8/10/2006,65.95,127.37,32.2133,25.79,72.83,104.72,79.84
8/11/2006,65.38,127.01,31.8233,25.54,72.23,104.51,79.77
8/14/2006,65.6,127.11,31.95,25.3,72.9,104.38,79.73
8/15/2006,67.02,128.63,32.7333,25.34,73.75,104.92,79.84
8/16/2006,67.65,129.79,33.0533,25.07,73.95,105.36,79.97
8/17/2006,67.38,130.03,33.1,24.68,74.03,105.31,79.96
8/18/2006,67.66,130.69,32.7867,24.81,74.05,105.52,79.99
8/21/2006,67.45,130.13,32.6167,25.01,74.48,105.67,80.04
8/22/2006,67.26,130.12,32.6067,24.97,75.15,105.74,80.03
8/23/2006,67.02,129.76,32.0167,24.71,74.31,105.7,80.03
8/24/2006,66.83,129.65,31.93,25.07,74.66,105.7,80.06
8/25/2006,66.78,129.81,32.02,25.06,74.58,105.85,80.08
8/28/2006,67.06,130.43,32.3833,24.67,75.5,105.88,80.1
8/29/2006,67.6,130.58,32.4933,24.63,75.5,105.95,80.13
8/30/2006,67.6,130.66,32.6333,25,76.05,106.02,80.18
8/31/2006,67.6,130.64,32.54,25,76.05,106.38,80.25
9/1/2006,68.1,131.42,32.9033,24.95,75.67,105.78,80.05
9/4/2006,68.1,131.42,32.9033,24.95,75.67,105.78,80.05
9/5/2006,68.36,131.67,33.0833,24.91,76.31,105.52,79.97
9/6/2006,67.31,130.51,32.1333,24.8,75.92,105.46,79.96
9/7/2006,66.53,129.91,31.7667,24.7,75.43,105.57,79.96
9/8/2006,66.52,130.28,32.0267,24.5,76.2,105.68,80.01
9/11/2006,66.12,130.41,31.3367,23.93,76.31,105.64,80
9/12/2006,66.88,131.69,31.8733,23.55,77.3,105.8,80.04
9/13/2006,66.75,132.22,32.35,23.49,78,106.08,80.05
9/14/2006,66.84,132.23,32.0833,23.35,78,105.81,79.98
9/15/2006,66.63,131.96,32.2733,23.3,78.2,105.74,80.02
9/18/2006,66.98,132.14,32.6367,23.56,77.75,105.76,80
9/19/2006,66.36,131.81,32.1333,23.21,78.25,106.17,80.11
9/20/2006,67.01,132.51,32.7933,23.07,78,106.34,80.14
9/21/2006,67.17,131.87,31.9933,23.47,77.2,106.98,80.28
9/22/2006,66.84,131.47,31.5867,23.2,77.6,107.04,80.3
9/25/2006,67.12,132.48,31.9533,23.25,77.55,107.09,80.39
9/26/2006,67.2,133.58,32.33,23.35,76.85,106.9,80.35
9/27/2006,67.71,133.74,32.2567,23.7,77.52,106.87,80.36
9/28/2006,67.87,133.69,32.5167,23.89,77.25,106.88,80.39
9/29/2006,67.75,133.58,32.2567,23.95,77.15,106.83,80.34
10/2/2006,67.94,133.08,32.2033,23.69,77.13,106.53,80.11
10/3/2006,68,133.36,31.7667,23.3,77.88,106.6,80.12
10/4/2006,68.69,134.92,32.6167,23.47,78.75,107.11,80.26
10/5/2006,68.73,135.18,33.05,23.6,79.23,106.76,80.18
10/6/2006,68.12,135.01,32.9667,23.69,78.65,106.16,80.08
10/9/2006,68.15,135.09,32.8433,24.49,79.18,106.24,80.09
10/10/2006,68.25,135.27,33.14,23.7,79.21,105.77,79.98
10/11/2006,68.2,135.11,32.9633,23.38,79,105.68,79.99
10/12/2006,68.95,136.28,33.7667,23.64,79.75,105.78,80.01
10/13/2006,69.05,136.63,33.9667,24.15,80.52,105.38,79.98
10/16/2006,69.31,136.84,34.06,24.4,80.86,105.65,80.02
10/17/2006,68.88,136.41,33.6133,24.38,80.46,105.85,80.03
10/18/2006,69.05,136.59,33.9433,23.99,80.95,106.07,80.04
10/19/2006,69.57,136.81,34.0933,24.39,80.75,105.73,80.03
10/20/2006,69.79,136.84,33.9333,24.05,80.65,105.77,80.06
10/23/2006,69.85,137.47,33.9033,24.1,81.03,105.53,80.02
10/24/2006,69.86,137.88,34.0967,24.27,80.8,105.71,80.02
10/25/2006,70.35,138.35,34.4933,24.7,81.21,106.16,80.11
10/26/2006,70.89,138.78,34.5767,24.53,82,106.5,80.21
10/27/2006,70.4,137.91,34,24.6,81.47,106.84,80.29
10/30/2006,70.25,137.81,33.8833,24.34,82.25,106.94,80.24
10/31/2006,70.29,137.79,34.5333,24.19,82.15,107.47,80.35
11/1/2006,70.2,136.86,34.1867,24.5,81.45,107.31,80.11
11/2/2006,70.43,136.78,34.2933,24.32,79.88,107.18,80.09
11/3/2006,70.16,136.54,34.4,24.71,79.1,106.43,79.94
11/6/2006,71.2,138.08,35.2167,25.05,79.78,106.55,79.93
11/7/2006,71.28,138.61,35.0667,24.99,79.03,106.93,80.03
11/8/2006,71.3,138.91,35.1567,24.96,79.21,107.06,80.07
11/9/2006,70.94,138.18,35.2767,25.29,79.41,107.17,80.06
11/10/2006,71.22,138.24,35.3267,24.76,79.75,107.46,80.12
11/13/2006,70.77,138.58,35.4467,24.58,79.89,107.39,80.12
11/14/2006,71.55,139.62,36,24.65,80.72,107.56,80.13
11/15/2006,71.53,140.02,36.0667,24.84,80.9,107.28,80.08
11/16/2006,71.38,140.38,35.7033,24.22,81.3,107.13,80.05
11/17/2006,71.17,140.42,35.6633,24.52,81.2,107.48,80.15
11/20/2006,70.63,140.5,35.5233,24.43,83.77,107.56,80.17
11/21/2006,70.98,140.64,36.09,24.66,85.2,107.71,80.19
11/22/2006,71.67,140.92,36.3433,24.75,85.44,107.83,80.25
11/23/2006,71.67,140.92,36.3433,24.75,85.44,107.83,80.25
11/24/2006,71.29,140.35,36.3367,25.09,85.85,108,80.26
11/27/2006,70.7,138.42,35.65,25.16,83.52,108.01,80.31
11/28/2006,71.33,139.02,35.8567,25.23,83.75,108.22,80.35
11/29/2006,72.14,140.47,36.4367,25.55,85,108.11,80.35
11/30/2006,72.45,140.53,36.6,25.78,85.95,108.52,80.44
12/1/2006,72.36,140.22,36.45,25.77,85.75,108.2,80.31
12/4/2006,72.83,141.29,37.21,25.65,86.85,108.45,80.3
12/5/2006,73.24,141.9,37.86,25.73,86.22,108.4,80.3
12/6/2006,73.08,141.78,37.6,25.39,86.13,108.13,80.29
12/7/2006,73.33,141.16,37.4667,25.3,85.2,108.18,80.27
12/8/2006,73.15,141.42,37.3,25.1,85.24,107.78,80.17
12/11/2006,73.45,141.83,37.3167,25.14,85.7,108.02,80.1801
12/12/2006,73.75,141.72,36.8667,25.1,85.31,108.25,80.29
12/13/2006,74.03,141.87,37.0667,25.11,84.84,107.71,80.1805
12/14/2006,74.33,143.12,37.7,25.4,85,107.61,80.14
12/15/2006,74.03,142.34,37.8667,25.52,84.5,107.59,80.17
12/18/2006,73.92,141.95,37.6033,24.47,84.25,107.6,80.17
12/19/2006,74.25,142.22,37.3667,24.76,83.6,107.58,80.18
12/20/2006,74.12,142.14,37.25,24.81,83.2,107.66,80.23
12/21/2006,72.55,141.62,37.1833,24.56,82.4,107.94,80.29
12/22/2006,72.38,140.75,37.3167,24.75,81.76,107.6,80.28
12/25/2006,72.38,140.75,37.3167,24.75,81.76,107.6,80.28
12/26/2006,72.36,141.58,37.6633,24.37,82.58,107.72,80.27
12/27/2006,73.25,142.51,38.2,24.3,83.3,106.95,79.99
12/28/2006,73.3,142.21,38.1267,24.48,83.55,106.73,79.94
12/29/2006,73.22,141.62,38.0567,24.58,83.35,106.68,79.96
1/1/2007,73.22,141.62,38.0567,24.58,83.35,106.68,79.96
1/2/2007,73.22,141.62,38.0567,24.58,83.35,106.68,79.96
1/3/2007,73.51,141.37,38.38,23.7999,83.87,106.45,80.04
1/4/2007,73.32,141.67,37.85,23.18,83.85,107.25,80.12
1/5/2007,72.2,140.54,36.7433,23.2,82.55,107.19,80.04
1/8/2007,72.3,141.19,37.01,23.22,82.53,107.15,80.02
1/9/2007,72.37,141.07,36.1833,23.02,83.5,107.17,80.05
1/10/2007,71.82,141.54,36.1,22.68,84.83,107.03,80.03
1/11/2007,72.28,142.16,36.5567,22.65,85.8,106.7,79.97
1/12/2007,73.1,143.24,37.3,23.18,86.1,106.59,79.92
1/15/2007,73.1,143.24,37.3,23.18,86.1,106.59,79.92
1/16/2007,73.01,142.96,37.4333,22.65,87.09,106.7,80
1/17/2007,73.05,143.02,37.2767,22.85,87.35,106.56,79.97
1/18/2007,72.8,142.54,36.8833,22.61,87.05,106.87,80
1/19/2007,73.69,142.82,37.5467,22.95,87.82,106.8,79.99
1/22/2007,73.32,142.38,37.5033,22.97,87.55,106.88,80.02
1/23/2007,73.97,142.8,38.3567,23.7,87.8,106.59,79.98
1/24/2007,74.45,143.95,38.69,23.5,89,106.64,80.02
1/25/2007,73.24,142.26,37.5,23.29,89.53,106.3,79.96
1/26/2007,73.38,142.16,37.73,23.58,89.8,106.23,79.97
1/29/2007,73.46,142.05,37.23,23.1,90.06,106.18,79.98
1/30/2007,73.96,142.79,37.8067,23.74,90.37,106.33,80
1/31/2007,74.24,143.75,38.1,23.99,91.4,106.78,80.09
2/1/2007,74.86,144.61,38.5667,23.9,91.35,106.28,79.78
2/2/2007,74.71,144.81,38.45,24.21,92,106.38,79.81
2/5/2007,74.47,144.85,38.4867,24.129,91.94,106.52,79.79
2/6/2007,75.05,144.89,38.8667,24.0101,93.2,106.8,79.88
2/7/2007,75.26,145.21,38.7167,23.72,94.57,106.95,79.92
2/8/2007,74.96,145.02,38.51,24.27,93.85,107.07,79.95
2/9/2007,74.64,143.94,38.05,24.42,92.52,106.62,79.87
2/12/2007,74.35,143.45,37.79,23.96,90.97,106.64,79.87
2/13/2007,75.3,144.66,38.39,24.4,92.59,106.5738,79.86
2/14/2007,76.32,145.61,39.2167,24.07,92.02,107.18,80.04
2/15/2007,76.41,145.8,39.24,24.07,92.78,107.38,80.08
2/16/2007,76.38,145.73,39.33,24.49,92.46,107.49,80.1
2/19/2007,76.38,145.73,39.33,24.49,92.46,107.49,80.1
2/20/2007,76.49,146.04,39.4333,24.22,93.24,107.66,80.09
2/21/2007,76.1,145.98,39.5433,24.74,92.75,107.59,80.14
2/22/2007,76.44,145.87,39.5,25.08,92.28,107.44,80.09
2/23/2007,76.68,145.3,39.1667,25.24,90.97,107.79,80.18
2/26/2007,76.72,145.17,39.15,25.31,90.38,108.23,80.24
2/27/2007,73.63,139.5,35.9667,24.83,87.45,108.65,80.43
2/28/2007,74.18,140.93,36.5833,25.29,88.13,108.43,80.37
3/1/2007,73.39,140.51,36.3367,25.03,87.58,108.02,80.22
3/2/2007,72.4,138.67,35.9867,24.8,85.77,108.32,80.3
3/5/2007,70.9,137.35,35.0967,24.43,82.73,108.16,80.33
3/6/2007,73.1,139.7,36.62,24.66,85.58,107.75,80.26
3/7/2007,73.12,139.56,36.3667,25,84.36,107.85,80.34
3/8/2007,73.98,140.74,37.26,25.04,85.71,107.99,80.34
3/9/2007,74.1,140.78,37.3967,24.71,86.76,107.71,80.2
3/12/2007,74.57,140.99,37.5933,24.48,87.2,107.94,80.27
3/13/2007,72.8,138.25,36.3667,24.29,84.9,108,80.38
3/14/2007,72.83,139.28,36.79,24.34,85.3,107.9,80.4
3/15/2007,73.16,139.47,37.09,24.19,85.94,107.92,80.38
3/16/2007,73.25,138.53,36.75,24.25,85.46,107.5,80.37
3/19/2007,74.38,140.2,37.6,24.37,86.32,107.3,80.3
3/20/2007,75.01,140.97,37.7833,24.4,86.6,107.59,80.37
3/21/2007,76.61,143.29,38.96,24.44,87.82,107.91,80.5
3/22/2007,76.32,143.18,38.7933,24.84,87.75,107.61,80.42
3/23/2007,76.5,143.39,39.01,24.85,87.05,107.33,80.37
3/26/2007,76.53,143.2,38.8767,24.96,85.7,107.53,80.45
3/27/2007,76.19,142.86,38.7767,25.03,84.99,107.51,80.46
3/28/2007,75.52,141.82,38.1633,25.27,84,107.44,80.5
3/29/2007,76.18,141.97,38.84,25.76,84.45,107.31,80.46
3/30/2007,76.26,142,38.8333,25.3776,85.24,107.27,80.46
4/2/2007,76.5,142.16,39.15,25.13,86.25,106.84,80.18
4/3/2007,77.14,143.69,39.7,25.03,87,106.78,80.18
4/4/2007,77.46,143.85,39.9967,25.31,86.43,106.87,80.23
4/5/2007,77.74,144.24,40.1,25.36,86.5,106.65,80.2
4/6/2007,77.74,144.24,40.1,25.36,86.5,106.65,80.2
4/9/2007,77.68,144.44,40.2567,25.1,86.44,106.3,80.02
4/10/2007,78.26,144.61,40.4467,25.45,86.66,106.52,80.12
4/11/2007,77.88,144.02,40.0733,25.41,85.5,106.32,80.12
4/12/2007,78.4,144.66,40.7433,25.56,85.05,106.48,80.11
4/13/2007,78.66,145.32,40.99,25.7,85.98,106.3,80.07
4/16/2007,79.49,146.7,41.45,25.5,85.96,106.39,80.06
4/17/2007,79.5,147.09,41.2067,25.24,87.19,106.97,80.19
4/18/2007,79.47,147.27,40.8933,25.25,86.88,107,80.3
4/19/2007,79.17,147.23,40.57,25.18,86.13,107.07,80.3
4/20/2007,80.08,148.62,41.0533,25.53,87.07,107.04,80.28
4/23/2007,79.3,148.06,40.8367,25.7,87.81,107.35,80.34
4/24/2007,79.25,148.12,40.8967,25.35,87.21,107.62,80.41
4/25/2007,79.99,149.48,41.3467,25.85,87.33,107.47,80.38
4/26/2007,79.62,149.65,41.28,25.67,87.45,107.24,80.32
4/27/2007,79.45,149.53,41.0867,25.8,87.16,107.21,80.3499
4/30/2007,79.16,148.29,40.28,25.57,85.49,107.73,80.41
5/1/2007,79.08,148.67,40.44,25.62,85.04,107.19,80.09
5/2/2007,79.68,149.54,41.2433,25.42,85.74,107.16,80.13
5/3/2007,79.79,150.35,41.61,25.54,86.08,107.01,80.07
5/4/2007,80.54,150.92,41.5767,25.49,85.65,107.27,80.11
5/7/2007,80.66,150.95,41.8467,25.37,85.73,107.4,80.11
5/8/2007,80,150.75,41.3033,25.21,85.17,107.34,80.15
5/9/2007,80.44,151.16,41.97,25.08,86.16,107.17,80.09
5/10/2007,78.85,149.58,40.9433,24.98,85.3,107.22,80.16
5/11/2007,80.18,150.86,41.9833,25.35,86.25,107.11,80.13
5/14/2007,79.88,150.53,41.5667,25.26,85.35,107,80.07
5/15/2007,80.02,150.57,41.6267,25.51,84.2,106.76,80.09
5/16/2007,80.14,151.6,42.22,25.26,83.42,107.01,80.17
5/17/2007,79.73,151.3,42.05,25.47,81.92,106.69,80.12
5/18/2007,80.35,152.62,42.2833,25.43,81.21,106.39,80.04
5/21/2007,79.97,152.54,42.34,25.68,81.77,106.53,80.06
5/22/2007,80.04,152.42,42.3667,25.31,82.62,106.19,80.08
5/23/2007,80.45,152.44,42.3,25.43,81.97,106.09,80.06
5/24/2007,79.68,151.06,41.2833,25.29,80.72,106.22,80.09
5/25/2007,80.19,151.69,41.9167,25.6,81.23,106.15,80.14
5/28/2007,80.19,151.69,41.9167,25.6,81.23,106.15,80.14
5/29/2007,80.29,152.24,41.7733,25.04,83.71,105.94,80.06
5/30/2007,80.63,153.48,42.1967,25.28,85.85,106.02,80.12
5/31/2007,81.03,153.32,42.2667,25.51,85.62,105.93,80.07
6/1/2007,81.56,154.08,43.3767,25.7,85.58,105.03,79.74
6/4/2007,81.78,154.1,43.1833,25.93,86.12,105.2,79.77
6/5/2007,81.36,153.49,43.0333,25.83,84.63,104.86,79.7
6/6/2007,80.19,151.84,41.95,25.82,84.1,104.95,79.8
6/7/2007,78.82,149.1,41.3033,25.95,81.5,103.83,79.71
6/8/2007,79.68,151.04,42.0333,25.49,82.84,103.88,79.74
6/11/2007,79.95,151.3,42.3933,25.98,81.62,103.56,79.75
6/12/2007,78.53,149.65,41.68,25.91,79.9,103.003,79.68
6/13/2007,79.55,151.89,42.49,26.24,81.62,103.45,79.7
6/14/2007,80.14,152.86,43.1567,26.49,80.78,103.42,79.7
6/15/2007,80.79,153.07,44.14,26.65,82,103.8295,79.81
6/18/2007,81.24,152.89,44.18,26.65,80.78,103.82,79.81
6/19/2007,81.32,153.27,44.23,26.39,80.86,104.49,79.95
6/20/2007,80.36,151.14,43.8533,26.42,79.42,103.99,79.87
6/21/2007,81.09,151.98,44.4,26.3,79.1,103.72,79.9
6/22/2007,79.97,150.55,43.8133,26.24,78.8,104,80.01
6/25/2007,79.95,149.83,43.48,26.14,77.01,104.12,80.08
6/26/2007,79.55,148.29,43.1,25.84,76.9,104.1,80.03
6/27/2007,80.12,150.4,43.7,25.8,78.57,104.1,80.02
6/28/2007,80.26,150.38,43.7233,25.72,77.52,103.99,80
6/29/2007,80.77,150.43,43.8833,25.7,77.42,104.58,80.16
7/2/2007,81.94,151.79,44.7667,25.86,79.37,103.85,79.91
7/3/2007,82.33,152.34,45.1233,25.89,79,103.87,79.88
7/4/2007,82.33,152.34,45.1233,25.89,79,103.87,79.88
7/5/2007,81.92,152.18,45.3233,26.13,80.27,103.2,79.77
7/6/2007,82.51,152.98,46.1,26.35,80.1,103,79.76
7/9/2007,82.71,153,46.5467,26.29,80.4,103.21,79.82
7/10/2007,81.7,150.92,45.6267,26.48,77.95,103.92,79.97
7/11/2007,82.47,151.99,46.0067,26.54,77.95,103.45,79.93
7/12/2007,83.62,154.39,47.0167,26.61,78.93,103.04,79.88
7/13/2007,83.56,154.85,47.5833,26.65,79.68,103.49,79.92
7/16/2007,83.37,154.83,47.1067,26.18,79.24,103.76,80
7/17/2007,83.09,154.75,47.0967,26.02,78.73,103.54,79.95
7/18/2007,82.8,154.47,46.52,26.32,78.3,103.84,80.07
7/19/2007,83.27,155.07,46.9667,26.41,78.56,103.62,80.06
7/20/2007,82.41,153.5,46.66,26.4,77.3,103.91,80.19
7/23/2007,82.91,153.97,48.01,26.28,75.95,103.79,80.13
7/24/2007,81.66,151.3,46.3667,26.08,74,103.66,80.21
7/25/2007,81.44,151.61,46.6333,26.31,74.1,103.74,80.27
7/26/2007,78.73,148.02,44.3967,26.03,72.4,103.52,80.46
7/27/2007,77.64,145.11,43.6833,26.28,70.4,103.14,80.55
7/30/2007,79.02,147.38,45.1133,25.98,71.35,103.3,80.45
7/31/2007,78.92,145.72,44.19,26.19,70.4,103.25,80.58
8/1/2007,79.05,146.43,44.0167,26.15,71.5,103.09,80.2
8/2/2007,79.29,147.6,44.5033,26.19,72.55,102.95,80.24
8/3/2007,77.86,143.8,42.5833,25.9,69.88,103.46,80.44
8/6/2007,78.71,146.21,43.3433,25.54,71.7,103.1,80.34
8/7/2007,78.98,147.77,43.6667,25.68,71.99,103.38,80.27
8/8/2007,80.26,149.83,45.1333,25.64,74.6,103.49,80.21
8/9/2007,77.97,145.39,43.2667,25.44,74.47,103.4,80.44
8/10/2007,76.63,144.71,42.5167,25.53,72,102.94,80.41
8/13/2007,76.78,145.23,42.9367,25.35,71.7,103.3,80.48
8/14/2007,76.04,143.01,41.8267,25.4338,69,103.9464,80.59
8/15/2007,74.26,141.04,40.1833,25.62,68.25,103.6648,80.7
8/16/2007,73.94,142.1,39.5,25.18,70.01,102.66,80.86
8/17/2007,74.62,144.71,40.75,25.16,71.85,102.84,80.93
8/20/2007,74.86,144.64,40.8333,25.23,73.05,103.58,81.03
8/21/2007,74.81,144.93,40.6833,25.19,74.15,103.79,81.14
8/22/2007,76.58,146.65,42.4333,25.25,74.75,104,81.03
8/23/2007,76.92,146.52,42.65,25.33,74.22,104.05,80.98
8/24/2007,78.26,148.33,43.6667,25.63,73.75,104.28,80.83
8/27/2007,77.43,146.95,43.8667,25.66,72.75,104,80.94
8/28/2007,75.87,143.72,42.0833,25.39,70.45,104.89,81.15
8/29/2007,77.61,146.54,43.75,25.63,72.3,104.41,81.05
8/30/2007,77.07,146.15,43.5267,25.68,72.65,104.72,81.12
8/31/2007,78.42,147.59,44.65,25.69,74.1,105.21,81.25
9/3/2007,78.42,147.59,44.65,25.69,74.1,105.21,81.25
9/4/2007,79.14,149.08,45.4033,25.98,75.1,104.49,80.81
9/5/2007,77.99,147.79,44.7167,26.03,73.3,104.9,81.02
9/6/2007,78.28,148.13,45.0667,25.93,73.75,104.66,80.92
9/7/2007,77.33,146.07,44.05,26.1,72.37,105.23,81.22
9/10/2007,77.01,145.79,44.0833,26.28,71,105.54,81.1
9/11/2007,78.34,147.49,44.9733,26.34,72.28,104.93,81.11
9/12/2007,78.42,147.87,45.1333,26.62,72.41,104.5,81.18
9/13/2007,78.75,148.91,45.6333,26.42,73.74,104.3501,81.06
9/14/2007,78.29,148.9,45.7233,26.44,74.09,104.64,81.05
9/17/2007,77.19,148.1,45.4333,26.75,73.95,104.6,81.04
9/18/2007,79.7,152.46,47.6333,26.85,76.25,104.85,81.15
9/19/2007,80.42,153.36,47.85,27.08,77.8,104.27,81.28
9/20/2007,80.35,152.28,47.7,27.5,76.85,104.08,80.98
9/21/2007,80.7,151.97,48.3333,27.69,76.87,104.57,81.09
9/24/2007,80.88,151.69,48.9333,27.64,77.53,105.09,81.18
9/25/2007,80.98,151.39,48.75,27.44,75.57,105.03,81.25
9/26/2007,81.38,152.19,49.4,27.48,76,105.29,81.2
9/27/2007,82.46,153.09,50.1333,28.2,76.72,105.56,81.35
9/28/2007,82.59,152.58,49.8167,28.11,76.47,105.49,81.26
10/1/2007,83.65,154.3,51.3833,27.82,78.5,104.33,81.04
10/2/2007,83.44,154.09,51.7333,27.26,79.22,104.23,81.03
10/3/2007,83.06,153.78,50.1667,27.29,79.2,104.7,81.02
10/4/2007,83.35,154.02,50.6667,27.67,79.23,105.53,81.06
10/5/2007,84.2,155.85,52.3567,27.75,80.8,105.1,80.97
10/8/2007,83.42,155.02,51.8,27.17,79.9,105.47,81.05
10/9/2007,84.35,156.48,52.6067,27.36,80.36,105.01,80.87
10/10/2007,84.19,156.22,52.6767,27.68,80.25,105.38,80.89
10/11/2007,84.58,155.47,52.2133,27.99,79.71,105.6,80.91
10/12/2007,84.95,156.33,53.1667,28.12,79.13,105.02,80.82
10/15/2007,84.26,155.01,52.5167,28.6,77.5,105.35,80.82
10/16/2007,82.96,153.78,51.5433,28.63,76.21,105.526,80.92
10/17/2007,83.84,154.25,52.7333,28.48,76,106.03,81.11
10/18/2007,84.04,153.69,53,28.99,76.2,106.04,81.22
10/19/2007,82.19,149.67,50.7333,28.9078,73.74,106.73,81.43
10/22/2007,82.09,150.54,51.1,28.83,74.65,106.73,81.36
10/23/2007,83.25,151.76,52.5167,28.63,75.3,106.1,81.37
10/24/2007,83.07,151.48,52.1733,28.73,75,106.75,81.53
10/25/2007,83.45,151.84,52.8367,29.4,74.8,106.5,81.48
10/26/2007,84.96,153.62,54.3333,29.85,75.9,106.33,81.49
10/29/2007,85.58,154.13,55.5833,30.34,75.35,106.56,81.49
10/30/2007,84.9,153.06,54.5333,29.66,75.69,106.57,81.48
10/31/2007,86.1,154.65,55.73,30.5,77.05,106.02,81.35
11/1/2007,84.29,151.03,53.48,30.11,74.3,106.35,81.31
11/2/2007,84.76,151.2,53.7833,30.76,72.83,105.69,81.41
11/5/2007,83.41,150.05,51.9133,30.56,71.79,105.95,81.3999
11/6/2007,84.67,152.07,53.8833,31.36,72.54,105.3,81.35
11/7/2007,83.2,147.91,52.1667,31.2,70.09,105.23,81.58
